a,X.nit.en_vm_canal1.en_vm_canal2.en_vm_canal3.en_vm_canal4.en_vm_canal5.en_vm_canal6.en_vm_canal7.en_vm_canal8.en_vm_canal9.en_vm_canal10.en_vm_otros.en_tx_canal1.en_tx_canal2.en_tx_canal3.en_tx_canal4.en_tx_canal5.en_tx_canal6.en_tx_canal7.en_tx_canal8.en_tx_canal9.en_tx_canal10.en_tx_otros.sal_vm_canal5.sal_vm_canal2.sal_vm_canal8.sal_vm_otros.sal_tx_canal5.sal_tx_canal2.sal_tx_canal8.sal_tx_otros.impo_cv.expo_vt.cxp.cxc.totalinventory.pagos_pj.pagos_pn.tiene_ventas_fisicas.tiene_ventas_electronicas.recaudos_pj.recaudos_pn.rotacion_inventarios.rotacion_cxc.rotacion_cxp.ciclo_negocio.ciclo_financiero
36,36,C-207633418762907202,1360633004,1834476296,0,794641866.9,947920064.7,150652013.5,0,16270402.6,23639987.78,0,483202085,7.355.833.333,249.25,0,2343.75,2.358.333.333,7.108.333.333,0,20.5,3.277.777.778,0,1.788.121.212,947920064.7,1927009251,453111,0,2.358.333.333,9.560.833.333,1,0,2,2,2,1,2,0.22,0.78,1,1,0,0,1,1,2,1,1
37,37,C505642642908809987,121394668.1,2037269806,2128242.36,0,0,47119545.42,0,20051127.41,0,0,0,1.883.333.333,85.75,6.454.545.455,0,0,7.25,0,1.4,0,0,0,0,1990515594,0,0,0,6.090.833.333,0,0,3,2,4,5,5,0.505,0.495,0,0,0,0,3,3,2,5,5
38,38,C-4758325762091020533,454436332,10000,0,0,159014013.3,0,0,0,0,0,0,2,1,0,0,1.714.285.714,0,0,0,0,0,0,168849682.2,0,0,0,1.833.333.333,0,0,0,1,1,1,2,2,1,0,0,0,0,0,5,2,1,5,5
39,39,C-4159793107663542127,2232967247,5098330198,72312842.42,8957307861,0,288980930.5,0,13308831.11,21022693.56,2003740,0,3.650.833.333,202.75,5.208.333.333,7.375.391.667,0,64.25,0,4.666.666.667,6.333.333.333,1,0,0,3667520481,0,0,0,4.685.833.333,0,0,4,2,4,6,6,0.09,0.91,1,0,0,0,6,2,1,6,6
40,40,C-58551722613148906,7973990,5893083333,1486780,0,0,0,0,0,0,0,0,1,2.25,1,0,0,0,0,0,0,0,0,0,5860042488,0,0,0,2.477.666.667,0,0,2,2,6,6,6,0.134,0.866,0,0,0,0,2,1,1,2,2
41,41,C-9064233095141462827,453633205.7,937182930.4,0,8851421.5,0,5939221.86,0,2866866.33,982828,0,0,3.983.333.333,48.75,0,3.666.666.667,0,1.714.285.714,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,3,2,4,0.949,0.051,1,0,0,0,6,3,4,6,5
42,42,C1662635067752140382,1537750,371476266.3,0,0,0,0,0,0,0,0,0,2,10.75,0,0,0,0,0,0,0,0,0,0,242064411.4,0,0,0,284.75,0,0,2,2,1,1,2,0.271,0.729,0,0,0,0,4,1,1,4,5
43,43,C8160725736296901111,393508229.5,1246891011,376725,0,0,17993997.67,0,6911880.75,1609320.5,0,600000,7.091.666.667,84.75,1,0,0,1.716.666.667,0,4.666.666.667,1,0,1,0,918455306.9,0,0,0,2.918.333.333,0,0,4,2,3,3,3,0.544,0.456,1,0,0,0,3,2,2,4,4
44,44,C2567986175375752000,1714540170,2213978716,3691910.5,0,0,109592142.4,0,22743471.18,1766796.4,0,0,128,116.5,3,0,0,2.708.333.333,0,2.545.454.545,1.8,0,0,0,0,0,0,0,0,0,0,2,2,3,6,5,1,0,1,0,0,0,3,4,2,6,6
45,45,C1121363260754274276,103344820.4,639280420.3,0,25060022.33,57666666.67,17850578,0,0,0,0,0,18.5,1.558.333.333,0,1.075.833.333,1.888.888.889,3.5,0,0,0,0,0,57666666.67,265901928,0,0,1.888.888.889,9.666.666.667,0,0,3,2,3,6,6,0.936,0.064,1,0,0,0,4,3,1,5,5
46,46,C9004369759239345094,88936259.47,2838602540,4997351.38,3631331.67,0,5718860.92,0,1985910.5,268000,0,0,1.516.666.667,76.5,8.125,5,0,12,0,1.666.666.667,1,0,0,230333333.3,1668524487,0,0,1,2.223.333.333,0,0,4,2,2,3,1,0.658,0.342,1,0,0,0,1,2,4,3,1
47,47,C-7943953595839607844,18945063.42,1533482783,200000,0,57219166.67,11260000,0,0,0,0,0,2.25,1.458.333.333,1,0,2,3,0,0,0,0,0,57219166.67,1790049075,0,0,2,1732.5,0,0,2,2,2,2,1,0.13,0.87,0,0,0,0,1,1,2,2,1
48,48,C-6124536363514988092,301240359.9,2764476327,5421897.42,0,888929113.3,2943717.33,0,667098.2,7134416.13,0,0,1.520.833.333,223,13.75,0,8.166.666.667,6.5,0,1.4,12.125,0,0,888791666.7,1450939037,0,0,8,8.824.166.667,0,0,3,2,2,3,2,0.513,0.487,0,0,0,0,3,2,2,4,4
49,49,C-6163122936269229004,89202924.33,440605545.4,0,0,42958333.33,0,0,0,0,0,0,1.833.333.333,1.583.333.333,0,0,2.333.333.333,0,0,0,0,0,0,42958333.33,275403607.3,0,0,2.333.333.333,1.003.333.333,0,0,1,1,1,1,1,0.392,0.608,0,0,0,0,1,1,1,1,2
50,50,C-8743886452827829418,205818442.1,212296950.8,0,0,0,11024058.36,0,2807403,3471000,0,0,3.491.666.667,3.083.333.333,0,0,0,2.818.181.818,0,1.5,2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0.413,0.587,0,0,0,0,6,4,4,6,3
51,51,C6499663663135314615,649238022.6,411289753.3,2310536,417444.22,0,73386802.5,0,15359395.67,5582122.67,16796470,1684092,1.929.166.667,1.018.333.333,2.5,1.111.111.111,0,33.5,0,7.416.666.667,3.833.333.333,1,1,0,0,0,0,0,0,0,0,3,2,2,4,4,0.615,0.385,1,0,0,0,5,4,1,5,6
